sample_id	subject_id
SRR1803389	SRR1803389
SRR1803390	SRR1803390
SRR1803391	SRR1803391
SRR1803392	SRR1803392
SRR1803393	SRR1803393
SRR1803394	SRR1803394
SRR1803395	SRR1803395
SRR1803396	SRR1803396
SRR1803397	SRR1803397
SRR1803398	SRR1803398
SRR1803399	SRR1803399
SRR1803400	SRR1803400
SRR1803401	SRR1803401
SRR1803402	SRR1803402
SRR1803403	SRR1803403
SRR1803404	SRR1803404
SRR1803405	SRR1803405
SRR1803406	SRR1803406
SRR1803407	SRR1803407
SRR1803408	SRR1803408
